2022-11-02 17:28:17,009 INFO     ts_ms:1667410073255 stream:{'bits_per_second': 2097150.0000019073, 'snd_cwnd': 65160, 'retransmits': 0, 'rttvar': 9999, 'end': 7.000059, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000009536743164, 'omitted': False, 'sender': True, 'rtt': 83868, 'bytes': 262144, 'start': 6.000058}
2022-11-02 17:28:17,009 INFO     ts_ms:1667410074255 stream:{'bits_per_second': 2097158.2500186265, 'snd_cwnd': 75296, 'retransmits': 0, 'rttvar': 28514, 'end': 8.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999970197677612, 'omitted': False, 'sender': True, 'rtt': 92607, 'bytes': 262144, 'start': 7.000059}
2022-11-02 17:28:17,010 INFO     ts_ms:1667410075255 stream:{'bits_per_second': 2097145.7500186265, 'snd_cwnd': 68056, 'retransmits': 0, 'rttvar': 17906, 'end': 9.000059, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000029802322388, 'omitted': False, 'sender': True, 'rtt': 82584, 'bytes': 262144, 'start': 8.000056}
2022-11-02 17:28:17,010 INFO     ts_ms:1667410076255 stream:{'bits_per_second': 2097154.125002153, 'snd_cwnd': 72400, 'retransmits': 0, 'rttvar': 14361, 'end': 10.000058, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999989867210388, 'omitted': False, 'sender': True, 'rtt': 64922, 'bytes': 262144, 'start': 9.000059}
2022-11-02 17:28:17,010 INFO     ts_ms:1667410077255 stream:{'bits_per_second': 2097156.250008613, 'snd_cwnd': 66608, 'retransmits': 0, 'rttvar': 10816, 'end': 11.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999979734420776, 'omitted': False, 'sender': True, 'rtt': 77861, 'bytes': 262144, 'start': 10.000058}
2022-11-02 17:28:17,010 INFO     ts_ms:1667410078255 stream:{'bits_per_second': 2097152, 'snd_cwnd': 82536, 'retransmits': 1, 'rttvar': 34815, 'end': 12.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 91053, 'bytes': 262144, 'start': 11.000056}
2022-11-02 17:28:17,010 INFO     ts_ms:1667410079255 stream:{'bits_per_second': 2097152, 'snd_cwnd': 59368, 'retransmits': 0, 'rttvar': 16361, 'end': 13.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 77051, 'bytes': 262144, 'start': 12.000056}
2022-11-02 17:28:17,010 INFO     ts_ms:1667410080255 stream:{'bits_per_second': 2097152, 'snd_cwnd': 53576, 'retransmits': 0, 'rttvar': 19231, 'end': 14.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 67597, 'bytes': 262144, 'start': 13.000056}
2022-11-02 17:28:17,010 INFO     ts_ms:1667410081255 stream:{'bits_per_second': 1917374.1714494978, 'snd_cwnd': 115840, 'retransmits': 0, 'rttvar': 19715, 'end': 15.000057, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000009536743164, 'omitted': False, 'sender': True, 'rtt': 95024, 'bytes': 239672, 'start': 14.000056}
2022-11-02 17:28:17,010 INFO     ts_ms:1667410082255 stream:{'bits_per_second': 2097154.125002153, 'snd_cwnd': 86880, 'retransmits': 1, 'rttvar': 33270, 'end': 16.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999989867210388, 'omitted': False, 'sender': True, 'rtt': 84960, 'bytes': 262144, 'start': 15.000057}
